Category	P	P.adj	fdr_sig	dataset_name	z	adjusted_for	prop_sn_ps	prop_h2	prop_h2_std_error	enrichment	enrichment_std_error	enrichment_p	coefficient	coefficient_std_error
Upper-layer intratelencephalic	3.984784898320992e-4	0.00159391395932839	yes	bip2021	3.3538494957635994	CGE interneuron	0.1266802311429707	0.19503100574712912	0.01286527732137952	1.539553598753843	0.10155710330888044	1.0041843042825582e-6	4.169420531272727e-9	1.2431746077274222e-9
Upper-layer intratelencephalic	6.854396515967309e-4	0.00182783907092461	yes	bip2021	3.2007131552541153	Deep-layer corticothalamic and 6b	0.1266802311429707	0.195729825503164	0.01312888310250161	1.5450700060869342	0.10363797874416902	1.3349154241007435e-6	4.177283967126328e-9	1.305110381500175e-9
Upper-layer intratelencephalic	0.12620228698316416	0.12620228698316416	no	bip2021	1.1445283828571589	Deep-layer intratelencephalic	0.1266802311429707	0.19567086674935713	0.01294288722623653	1.5446045920813325	0.1021697474772465	8.938582909932715e-7	1.6800696975023779e-9	1.467914402706478e-9
Upper-layer intratelencephalic	0.0011154379931314	0.00207140754097316	yes	bip2021	3.0576397409159437	Eccentric medium spiny neuron	0.1266802311429707	0.1957443228969805	0.01282958193825272	1.545184446940773	0.10127532782738072	7.399493184271333e-7	3.835754690128511e-9	1.2544822199947846e-9
Upper-layer intratelencephalic	0.00403145653087733	0.0053752753745031	yes	bip2021	2.649423891298639	Hippocampal CA1-3	0.1266802311429707	0.19532098983530313	0.01304613791429706	1.5418427016829863	0.10298479720622908	1.2111766609733357e-6	3.5218974582603662e-9	1.329306899446006e-9
Upper-layer intratelencephalic	0.00129462971310823	0.00207140754097316	yes	bip2021	3.0127103252098357	Hippocampal CA4	0.1266802311429707	0.19541643962728256	0.01304269142256858	1.542596171984692	0.10295759097446444	1.2051958517272375e-6	3.850546173583471e-9	1.2781003674209135e-9
Upper-layer intratelencephalic	3.4533754040311226e-4	0.00159391395932839	yes	bip2021	3.393254217860555	LAMP5-LHX6 and Chandelier	0.1266802311429707	0.19522788356696208	0.01289423585489811	1.5411077309026129	0.10178569883051244	9.90466087597489e-7	4.247093520087612e-9	1.2516284508637264e-9
Amygdala excitatory	1.999187279055903e-7	1.5993498232447223e-6	yes	educational_attainment	5.069035119215754	CGE interneuron	0.1528769824794138	0.20565971665858984	0.0077751271519622	1.345262794458176	0.05085871676600621	2.670820699214696e-10	7.643240390617571e-9	1.50782944107913e-9
Amygdala excitatory	7.255101329595171e-6	1.451020265919034e-5	yes	educational_attainment	4.3359953264136495	Deep-layer corticothalamic and 6b	0.1528769824794138	0.20657147613983068	0.00798462388039575	1.3512268020311513	0.05222907824904872	4.220075568900262e-10	7.006234508912514e-9	1.615830733541738e-9
Amygdala excitatory	1.8800329022516937e-4	1.8800329022516937e-4	yes	educational_attainment	3.556375475010092	Deep-layer intratelencephalic	0.1528769824794138	0.20659685973766892	0.00795575522589386	1.3513928414010197	0.0520402424018617	3.463611659950831e-10	6.292410276822458e-9	1.7693323781580183e-9
Amygdala excitatory	1.0981332359771834e-5	1.7570131775634935e-5	yes	educational_attainment	4.243942503441383	Eccentric medium spiny neuron	0.1528769824794138	0.20630459164428985	0.00792516632009141	1.3494810552796626	0.05184015403469	3.1051996789919927e-10	6.860688191218594e-9	1.6165836803055904e-9
Amygdala excitatory	8.782114340344371e-5	1.003670210325071e-4	yes	educational_attainment	3.7516961068261696	Hippocampal CA1-3	0.1528769824794138	0.20641302511595616	0.0080454314627345	1.3501903410721194	0.05262683323709567	5.197594478176742e-10	6.514186663779326e-9	1.7363311095285235e-9
Amygdala excitatory	4.836317735734674e-6	1.2896847295292464e-5	yes	educational_attainment	4.424365025834079	Hippocampal CA4	0.1528769824794138	0.20596482286881856	0.00798031434202005	1.3472585573603502	0.05220088866611866	5.36911661780443e-10	6.985835315639693e-9	1.5789464193955671e-9
Amygdala excitatory	5.848967825627938e-7	2.339587130251175e-6	yes	educational_attainment	4.8606865388119	LAMP5-LHX6 and Chandelier	0.1528769824794138	0.2055236178857115	0.00791199144876161	1.3443725442015904	0.05175397447308347	5.195713688769315e-10	7.547820984325361e-9	1.552830227593791e-9
Amygdala excitatory	5.527048499320841e-5	7.369397999094454e-5	yes	educational_attainment	3.8662073405874056	Upper-layer intratelencephalic	0.1528769824794138	0.2064432035194928	0.00797905477090814	1.3503877442589642	0.05219264955064506	4.2152766513907536e-10	6.878187926602531e-9	1.7790530410501743e-9
CGE interneuron	0.00316997419748077	0.00422663226330769	yes	educational_attainment	2.729660995030154	Amygdala excitatory	0.12305912323425695	0.16030209298823211	0.00776446101467708	1.3026428985933771	0.0630953708316006	2.8188431501934226e-6	4.951758267562717e-9	1.8140561324568494e-9
CGE interneuron	0.00213291511802071	0.00395282992447381	yes	educational_attainment	2.857804574737999	Deep-layer corticothalamic and 6b	0.12305912323425695	0.16030862389918893	0.00775023857929982	1.3026959699202745	0.06297979682941811	2.7087328603672157e-6	5.249108923506275e-9	1.8367627268521358e-9
CGE interneuron	0.00245437555439442	0.00395282992447381	yes	educational_attainment	2.8129616108862505	Deep-layer intratelencephalic	0.12305912323425695	0.1609791148737404	0.00778051747671827	1.3081444970747795	0.06322584845584488	1.9828312775600367e-6	5.185873885994695e-9	1.8435636895737215e-9
CGE interneuron	0.00579850940737802	0.00662686789414631	yes	educational_attainment	2.5241749803278553	Eccentric medium spiny neuron	0.12305912323425695	0.16054389154760407	0.00766534583155548	1.3046077960590583	0.06228994348483721	1.8292858899963455e-6	4.615861247720889e-9	1.828661358144574e-9
CGE interneuron	0.00221272228125668	0.00395282992447381	yes	educational_attainment	2.8461276879585715	Hippocampal CA1-3	0.12305912323425695	0.16057252263981997	0.00786940767142248	1.304840457331652	0.06394818575492513	3.311329659109376e-6	5.292265831775679e-9	1.8594618414930067e-9
CGE interneuron	0.00145794603480042	0.00395282992447381	yes	educational_attainment	2.9764683197003277	Hippocampal CA4	0.12305912323425695	0.1609480657763797	0.00782683033028863	1.307892186668654	0.06360219481971584	2.341657122312119e-6	5.477441192998062e-9	1.840248443682254e-9
CGE interneuron	0.01503210942464772	0.01503210942464772	yes	educational_attainment	2.1692432806888173	LAMP5-LHX6 and Chandelier	0.12305912323425695	0.16042376501261052	0.0077421605434368	1.3036316267850026	0.06291415329441871	2.495809566732588e-6	4.069678833233659e-9	1.8760822584829588e-9
CGE interneuron	0.00247051870279613	0.00395282992447381	yes	educational_attainment	2.810852874587629	Upper-layer intratelencephalic	0.12305912323425695	0.1601916067977979	0.00773696475756636	1.3017450684485623	0.06287193142793793	2.7860091406878304e-6	5.132167632414902e-9	1.8258400070718131e-9
Deep-layer corticothalamic and 6b	0.01549099752398264	0.01770399717026587	yes	educational_attainment	2.157303878055007	Amygdala excitatory	0.14169744507737506	0.1826007069498619	0.00807248679769726	1.2886661919002935	0.05696988250768541	1.4745232450099086e-6	3.779404138065718e-9	1.751910881221412e-9
Deep-layer corticothalamic and 6b	3.630860771302036e-4	0.00145234430852081	yes	educational_attainment	3.37950224074531	CGE interneuron	0.14169744507737506	0.1816270735611351	0.00776623488548908	1.2817949784624287	0.0548085738684157	9.850269634875951e-7	5.543641339063793e-9	1.6403721448165712e-9
Deep-layer corticothalamic and 6b	0.0230493403169284	0.0230493403169284	yes	educational_attainment	1.9944886361213408	Deep-layer intratelencephalic	0.14169744507737506	0.18260190823188013	0.00790483195538747	1.2886746696961886	0.05578669362084108	8.497059142823858e-7	3.6022840948338263e-9	1.806119137303859e-9
Deep-layer corticothalamic and 6b	0.00135139027661546	0.00360370740430789	yes	educational_attainment	2.9996634605467847	Eccentric medium spiny neuron	0.14169744507737506	0.1821861596058687	0.00777074110068875	1.2857406109643292	0.0548403755370852	7.094794469167427e-7	4.931042021129212e-9	1.6438650821950444e-9
Deep-layer corticothalamic and 6b	0.00689338410406747	0.0091911788054233	yes	educational_attainment	2.462771671290986	Hippocampal CA1-3	0.14169744507737506	0.18241397841895912	0.0079655234224711	1.2873483944565864	0.05621501092077885	1.127509999582029e-6	4.348986765675314e-9	1.7658911771530862e-9
Deep-layer corticothalamic and 6b	0.00186835692781217	0.00373671385562435	yes	educational_attainment	2.899572946005969	Hippocampal CA4	0.14169744507737506	0.1816063509685218	0.00789638125914105	1.281648733111272	0.05572705460447203	1.440814199722395e-6	4.69542274007987e-9	1.6193497551243203e-9
Deep-layer corticothalamic and 6b	2.910583428106239e-4	0.00145234430852081	yes	educational_attainment	3.439812794530658	LAMP5-LHX6 and Chandelier	0.14169744507737506	0.1818438064916628	0.00783511408276033	1.283324525663575	0.05529467435691525	1.0636873267286172e-6	5.6089580513210255e-9	1.6305997989888671e-9
Deep-layer corticothalamic and 6b	0.00431364638951436	0.00690183422322299	yes	educational_attainment	2.6264805305805248	Upper-layer intratelencephalic	0.14169744507737506	0.18219608756388947	0.00805852390543362	1.2858106754458405	0.05687134232401441	1.666131540869169e-6	4.533476051501064e-9	1.7260649750558174e-9
Deep-layer intratelencephalic	0.01063715155228162	0.01063715155228162	yes	educational_attainment	2.303080697971261	Amygdala excitatory	0.13561372880676392	0.18375313640884156	0.00767345063948157	1.354974441198881	0.05658314026904661	3.6163612578551806e-9	4.39066527830825e-9	1.9064313648131835e-9
Deep-layer intratelencephalic	1.1632746077516742e-5	8.923059624121876e-5	yes	educational_attainment	4.230999758773524	CGE interneuron	0.13561372880676392	0.1836108650416235	0.0074402654188574	1.35392534854086	0.05486365933834798	1.1795373095180344e-9	6.909624158395872e-9	1.6330949071948955e-9
Deep-layer intratelencephalic	7.41778917262681e-4	0.00103191612796142	yes	educational_attainment	3.1778806951699905	Deep-layer corticothalamic and 6b	0.13561372880676392	0.1838753695099261	0.00764031319478556	1.3558757739928398	0.05633878857259539	2.593654759289756e-9	5.782111914239806e-9	1.8194867803023395e-9
Deep-layer intratelencephalic	8.916829809657578e-5	2.116214083880408e-4	yes	educational_attainment	3.7478785048291225	Eccentric medium spiny neuron	0.13561372880676392	0.1837469081270817	0.0075296948931256	1.354928514567303	0.05552310197041087	1.7334604222184555e-9	6.379290058752425e-9	1.7021069521151075e-9
Deep-layer intratelencephalic	7.739370959710667e-4	0.00103191612796142	yes	educational_attainment	3.1655549559140863	Hippocampal CA1-3	0.13561372880676392	0.18372155506799465	0.0077471310796295	1.3547415640327949	0.05712645133936551	4.792361986116097e-9	5.66747065740164e-9	1.79035611017061e-9
Deep-layer intratelencephalic	1.058107041940204e-4	2.116214083880408e-4	yes	educational_attainment	3.704723544681989	Hippocampal CA4	0.13561372880676392	0.18331046629851372	0.00769797087798112	1.3517102428450507	0.05676394968056641	4.7496808736809695e-9	6.123735296251028e-9	1.6529533775985664e-9
Deep-layer intratelencephalic	2.230764906030469e-5	8.923059624121876e-5	yes	educational_attainment	4.082179591807324	LAMP5-LHX6 and Chandelier	0.13561372880676392	0.18344508296707387	0.00757643136347048	1.352702890637753	0.05586773131403345	2.377154968888002e-9	6.796646800397119e-9	1.664955362090771e-9
Deep-layer intratelencephalic	0.00255417182985562	0.00291905351983499	yes	educational_attainment	2.8001211128759063	Upper-layer intratelencephalic	0.13561372880676392	0.1844109470553256	0.00771561936268611	1.35982506106069	0.05689408757191613	2.524794709524796e-9	5.648154414340667e-9	2.0171107558057174e-9
Eccentric medium spiny neuron	0.00133966223060755	0.00133966223060755	yes	educational_attainment	3.0023176415028217	Amygdala excitatory	0.13994057195924484	0.18871963861439467	0.00770870062501252	1.3485698677103868	0.05508553035825483	2.838670984820828e-9	5.026844663532586e-9	1.6743213955923663e-9
Eccentric medium spiny neuron	6.007425028586866e-5	1.5619346062201167e-4	yes	educational_attainment	3.845822946883862	CGE interneuron	0.13994057195924484	0.18852719491262815	0.00747756700686461	1.3471946860952757	0.05343387483825867	1.3350439592792083e-9	6.083119436132913e-9	1.5817471371275307e-9
Eccentric medium spiny neuron	7.809673031100584e-5	1.5619346062201167e-4	yes	educational_attainment	3.7810099023645902	Deep-layer corticothalamic and 6b	0.13994057195924484	0.18868405197947744	0.00751963537907162	1.348315569514953	0.05373449081844247	1.4108896961699387e-9	5.970187350801168e-9	1.578992783665416e-9
Eccentric medium spiny neuron	1.9417105364338827e-4	2.707379330445038e-4	yes	educational_attainment	3.5478820361885433	Deep-layer intratelencephalic	0.13994057195924484	0.1888594099743709	0.00767041769904159	1.3495686585400894	0.05481196476226684	2.4899857077813607e-9	5.87243466744578e-9	1.6551944533518034e-9
Eccentric medium spiny neuron	2.1523018444979947e-4	2.707379330445038e-4	yes	educational_attainment	3.520668518851336	Hippocampal CA1-3	0.13994057195924484	0.18863152506243283	0.00766938421321567	1.3479402179188489	0.05480457958574904	2.729571700081037e-9	5.801600653459685e-9	1.647869040324345e-9
Eccentric medium spiny neuron	5.8858437820275e-5	1.5619346062201167e-4	yes	educational_attainment	3.850832741706545	Hippocampal CA4	0.13994057195924484	0.1884709697867113	0.00767676784420826	1.346792907503623	0.05485734220411782	3.311855953818e-9	6.100928590660187e-9	1.5843140951264695e-9
Eccentric medium spiny neuron	7.282723556967241e-5	1.5619346062201167e-4	yes	educational_attainment	3.798363731227502	LAMP5-LHX6 and Chandelier	0.13994057195924484	0.18784678399964191	0.00754561835986215	1.3423325442341976	0.05392016235334297	2.930218593278572e-9	6.030030334621125e-9	1.587533675368268e-9
Eccentric medium spiny neuron	2.3689569141394085e-4	2.707379330445038e-4	yes	educational_attainment	3.4951522638986736	Upper-layer intratelencephalic	0.13994057195924484	0.18859554006626575	0.00774872925884941	1.3476830730775546	0.05537157059145141	4.0225123063638105e-09	5.875936611827671e-9	1.681167562432129e-9
Hippocampal CA1-3	0.01153075948924942	0.01153075948924942	yes	educational_attainment	2.2724139658419142	Amygdala excitatory	0.13993486837039576	0.18328404330491	0.00784524670345804	1.3097810820086146	0.05606355867425653	1.2222498200946044e-7	3.988198335383861e-9	1.755049209929609e-9
Hippocampal CA1-3	2.2387691050562708e-5	1.7910152840450166e-4	yes	educational_attainment	4.081347343634033	CGE interneuron	0.13993486837039576	0.18284794637086776	0.00776066643670449	1.3066646540652378	0.05545913271710566	1.243896792381937e-7	6.428643149225005e-9	1.5751276742598779e-9
Hippocampal CA1-3	5.419958385345369e-4	9.022714724709502e-4	yes	educational_attainment	3.2677680401904796	Deep-layer corticothalamic and 6b	0.13993486837039576	0.18335934419836544	0.00783013842154578	1.310319195877819	0.05595559214605517	1.1501301243614932e-7	5.486609540627126e-9	1.6790082628714703e-9
Hippocampal CA1-3	0.00180594379688348	0.0024079250625113	yes	educational_attainment	2.910207597007826	Deep-layer intratelencephalic	0.13993486837039576	0.18328082729476153	0.00793474438920425	1.309758099815642	0.05670312540118059	1.735030621943281e-7	4.955842796439085e-9	1.7029172769442664e-9
Hippocampal CA1-3	2.1343480333557707e-4	5.691594755615388e-4	yes	educational_attainment	3.522889305731982	Eccentric medium spiny neuron	0.13993486837039576	0.1830493113098048	0.00777283901347407	1.3081036445133083	0.05554612016284625	1.0884792767336557e-7	5.720135106134504e-9	1.6237056034736747e-9
Hippocampal CA1-3	0.00286023066097762	0.00326883504111728	yes	educational_attainment	2.7633886138952666	Hippocampal CA4	0.13993486837039576	0.1828401738240161	0.00786207576891844	1.3066091100329165	0.05618382223441407	1.76376378033539e-7	5.153361532918484e-9	1.8648703649590263e-9
Hippocampal CA1-3	4.591056529512638e-5	1.8364226118050553e-4	yes	educational_attainment	3.9112461529221	LAMP5-LHX6 and Chandelier	0.13993486837039576	0.182879838385336	0.00787533868526162	1.3068925601964232	0.05627860144489698	1.801925546984361e-7	6.3202366942247605e-9	1.6159138154735923e-9
Hippocampal CA1-3	5.639196702943439e-4	9.022714724709502e-4	yes	educational_attainment	3.256527677877469	Upper-layer intratelencephalic	0.13993486837039576	0.1834815253368584	0.00794928157713824	1.3111923244976964	0.05680701078802725	1.575221887411378e-7	5.4331014563961855e-9	1.6683725715905347e-9
Hippocampal CA4	0.01336333537654532	0.01527238328748037	yes	educational_attainment	2.215486779996946	Amygdala excitatory	0.13866112277830536	0.18153097618574204	0.00749774947366601	1.3091699572920523	0.05407247051975476	4.1350329521679994e-8	3.507017604478031e-9	1.582955780256502e-9
Hippocampal CA4	9.77756750394354e-5	7.822054003154832e-4	yes	educational_attainment	3.7246952001660105	CGE interneuron	0.13866112277830536	0.1822628586865475	0.00729964263126583	1.3144481671185777	0.05264375828642805	1.1596749191262912e-8	5.654077448774091e-9	1.5179973514402163e-9
Hippocampal CA4	0.00110934701761622	0.00177495522818595	yes	educational_attainment	3.059280369619383	Deep-layer corticothalamic and 6b	0.13866112277830536	0.1815692706642072	0.00736802083253467	1.3094461304377607	0.05313689003019856	2.4679579916366893e-8	4.564053176164763e-9	1.4918714941882214e-9
Hippocampal CA4	0.00326848125374634	0.00435797500499512	yes	educational_attainment	2.719556000187861	Deep-layer intratelencephalic	0.13866112277830536	0.1816545723900709	0.00752980526324021	1.3100613117095878	0.05430365132178427	4.36799617692919e-8	4.192323734713973e-9	1.5415471254956235e-9
Hippocampal CA4	5.466287348636634e-4	0.0014576766263031	yes	educational_attainment	3.2653581519479555	Eccentric medium spiny neuron	0.13866112277830536	0.18179706350048133	0.0073806920548083	1.3110889329169988	0.05322827269045503	2.2350423550046637e-8	4.965018187414128e-9	1.520512591996145e-9
Hippocampal CA4	0.03627994922934496	0.03627994922934496	yes	educational_attainment	1.7955890512237942	Hippocampal CA1-3	0.13866112277830536	0.1815730289943624	0.00752790743758267	1.30947323486386	0.05428996453186426	4.7051490386352115e-8	3.311620792533503e-9	1.8443088580187367e-9
Hippocampal CA4	2.5966982043301723e-4	0.00103867928173206	yes	educational_attainment	3.4705779183925776	LAMP5-LHX6 and Chandelier	0.13866112277830536	0.18183937563386976	0.00747128042365211	1.3113940806941164	0.05388158031575562	3.2490621713597224e-8	5.361550497019537e-9	1.5448581253875943e-9
Hippocampal CA4	0.0010352980776328	0.00177495522818595	yes	educational_attainment	3.0799150913166784	Upper-layer intratelencephalic	0.13866112277830536	0.181681991422449	0.0074441529879342	1.310259053021851	0.05368594194809807	3.0523202061199096e-8	4.6643047049497354e-9	1.5144263937989675e-9
LAMP5-LHX6 and Chandelier	0.00471456118375401	0.0053880699242903	yes	educational_attainment	2.5960905090903292	Amygdala excitatory	0.13366159164685928	0.17493712735112696	0.00768855754628828	1.308806256125692	0.05752256464670749	1.94064493024252e-7	4.3947737485801235e-9	1.69284303963657e-9
LAMP5-LHX6 and Chandelier	0.01070403026418176	0.01070403026418176	yes	educational_attainment	2.300709433363802	CGE interneuron	0.13366159164685928	0.17572074290348372	0.00744194490290721	1.314668939209903	0.05567751222482229	5.0515416762956086e-8	3.8174635615157505e-9	1.6592549698613375e-9
LAMP5-LHX6 and Chandelier	0.00101030508425226	0.00475287224961213	yes	educational_attainment	3.087186152524307	Deep-layer corticothalamic and 6b	0.13366159164685928	0.17567625849711488	0.00748363884967827	1.3143361255285697	0.05598944885715883	5.968214408268456e-8	5.026064255474794e-9	1.6280405544593152e-9
LAMP5-LHX6 and Chandelier	0.00260972726104058	0.00475287224961213	yes	educational_attainment	2.7931681946747813	Deep-layer intratelencephalic	0.13366159164685928	0.17579483813600416	0.00761289599104391	1.3152232886801398	0.05695649660642653	8.566246568953909e-8	4.691865188315696e-9	1.679764647635903e-9
LAMP5-LHX6 and Chandelier	0.00444719148382422	0.0053880699242903	yes	educational_attainment	2.6160872381801634	Eccentric medium spiny neuron	0.13366159164685928	0.17490003984284908	0.00740729508466809	1.3085287829352197	0.055418276809381	7.411456249250107e-8	4.278965518300853e-9	1.635635637776912e-9
LAMP5-LHX6 and Chandelier	0.00233135737463907	0.00475287224961213	yes	educational_attainment	2.829456435739056	Hippocampal CA1-3	0.13366159164685928	0.1756215858300924	0.00765858688896879	1.3139270875517746	0.05729833675184096	1.2143873959115069e-7	4.799479577669297e-9	1.696254982775753e-9
LAMP5-LHX6 and Chandelier	0.001633416623523	0.00475287224961213	yes	educational_attainment	2.9414464467518595	Hippocampal CA4	0.13366159164685928	0.17559519315355657	0.00755769959585059	1.3137296286093014	0.05654354031499505	8.628327902654336e-8	4.822330422243522e-9	1.6394418560870483e-9
LAMP5-LHX6 and Chandelier	0.00297054515600758	0.00475287224961213	yes	educational_attainment	2.751015108542238	Upper-layer intratelencephalic	0.13366159164685928	0.17535653513064484	0.00754485422846267	1.311944089323324	0.056447436660761643	8.742276188149572e-8	4.634052050677817e-9	1.6844880409011632e-9
Upper-layer intratelencephalic	0.06795985579550112	0.06795985579550112	no	educational_attainment	1.4911591659967274	Amygdala excitatory	0.1266802311429707	0.16686417398456133	0.00762749257250049	1.3172076848852543	0.06021059879415711	4.932695550557012e-7	2.9745087092682902e-9	1.994762716882778e-9
Upper-layer intratelencephalic	2.035549025426464e-4	0.00162843922034117	yes	educational_attainment	3.535431483568245	CGE interneuron	0.1266802311429707	0.16662889304563103	0.00733991989558194	1.315350402681019	0.05794053128382867	2.0056764841297e-7	5.9558741656582876e-9	1.6846244067632542e-9
Upper-layer intratelencephalic	0.00228821911546628	0.00366115058474605	yes	educational_attainment	2.835427630553588	Deep-layer corticothalamic and 6b	0.1266802311429707	0.16723781172390972	0.00761607257761297	1.320157140660455	0.06012045059356984	3.635705937506073e-7	5.067419214479807e-9	1.7871798806906755e-9
Upper-layer intratelencephalic	0.06036793986657929	0.06795985579550112	no	educational_attainment	1.5516922425901365	Deep-layer intratelencephalic	0.1266802311429707	0.16793444726491277	0.00762735286885192	1.32565630603707	0.06020949598871299	2.479831429539614e-7	3.251178367811469e-9	2.0952469043632607e-9
Upper-layer intratelencephalic	0.00155825224908645	0.00311650449817291	yes	educational_attainment	2.956006572409443	Eccentric medium spiny neuron	0.1266802311429707	0.16704716577441303	0.00752377442986962	1.3186522022199691	0.05939185902951444	2.9365168056816905e-7	5.295272821241239e-9	1.791360300300367e-9
Upper-layer intratelencephalic	0.00453326525201869	0.00604435366935825	yes	educational_attainment	2.6095352481399674	Hippocampal CA1-3	0.1266802311429707	0.16752355356415286	0.00775194729427689	1.3224127557447112	0.06119303086468228	4.739974363971479e-7	4.800025666358301e-9	1.839417831117506e-9
Upper-layer intratelencephalic	9.036660193063596e-4	0.00240977605148362	yes	educational_attainment	3.120191984637706	Hippocampal CA4	0.1266802311429707	0.16684074502997437	0.00760365189138564	1.3170227392597564	0.06002240304411978	4.332752538790772e-7	5.325476745158535e-9	1.7067785480440207e-9
Upper-layer intratelencephalic	4.54720520260854e-4	0.00181888208104341	yes	educational_attainment	3.317139781928019	LAMP5-LHX6 and Chandelier	0.1266802311429707	0.1667076033989122	0.00748861724015253	1.3159717336698478	0.05911433198839778	3.0576860049515245e-7	5.8033563480400545e-9	1.7495061195964959e-9
Amygdala excitatory	2.622974898415231e-4	0.00124579533973534	yes	iq	3.467873085915775	CGE interneuron	0.1528769824794138	0.2016858874910568	0.01091834208514554	1.3192691549770452	0.07141913653754774	1.6895890207576115e-5	8.483846462582696e-9	2.446412037694953e-9
Amygdala excitatory	8.905069133099408e-4	0.00178101382661988	yes	iq	3.124510140928319	Deep-layer corticothalamic and 6b	0.1528769824794138	0.2022795609107032	0.01095964179994609	1.3231524957522096	0.07168928652435891	1.5459395123191343e-5	7.930932434456041e-9	2.538296269411272e-9
Amygdala excitatory	0.01655072967805126	0.01655072967805126	yes	iq	2.1308505133573945	Deep-layer intratelencephalic	0.1528769824794138	0.2025251048914906	0.010787007696558	1.3247586497775252	0.0705600511052118	1.0352479814034314e-5	6.2035126524495554e-9	2.911284772705723e-9
Amygdala excitatory	0.00222626466176922	0.00356202345883076	yes	iq	2.8441842424440673	Eccentric medium spiny neuron	0.1528769824794138	0.20220837617142337	0.01079846281469776	1.3226868616317202	0.07063498140507755	1.1252769051520634e-5	6.8500533714991295e-9	2.408442206125414e-9
Amygdala excitatory	0.00396097600618983	0.00528130134158644	yes	iq	2.6553782678745494	Hippocampal CA1-3	0.1528769824794138	0.20178313287267008	0.01086673474534286	1.319905257155647	0.07108156224110562	1.5575338754358968e-5	6.6008192341664935e-9	2.4858301033886222e-9
Amygdala excitatory	7.116400409085122e-4	0.00178101382661988	yes	iq	3.189887863481105	Hippocampal CA4	0.1528769824794138	0.20104680632161329	0.01077301913028737	1.3150887927074697	0.07046854899649825	1.72791301704811e-5	7.851684847578251e-9	2.4614297378497046e-9
Amygdala excitatory	3.1144883493383624e-4	0.00124579533973534	yes	iq	3.421443058169636	LAMP5-LHX6 and Chandelier	0.1528769824794138	0.20091550718004625	0.01074076679515443	1.3142299378331934	0.0702575797936146	1.704702752403524e-5	8.262123209174197e-9	2.414806579769347e-9
Amygdala excitatory	0.0067862580965341	0.00775572353889611	yes	iq	2.4683826080711895	Upper-layer intratelencephalic	0.1528769824794138	0.2021927800070315	0.01092253744691661	1.3225848438907963	0.07144657926766329	1.4862377136973988e-5	6.716376896640186e-9	2.720962655740151e-9
CGE interneuron	0.00633423742187166	0.00844564989582889	yes	iq	2.4929554268447656	Amygdala excitatory	0.12305912323425695	0.16598561569258402	0.01129058298068817	1.3488282000564202	0.09174925583693028	1.4530569108443e-4	7.602015654232986e-9	3.049398947278634e-9
CGE interneuron	0.00460402458187791	0.00844564989582889	yes	iq	2.604231670888921	Deep-layer corticothalamic and 6b	0.12305912323425695	0.16576005371843763	0.01112906135674088	1.346995243927544	0.09043670281605584	1.2810456465127e-4	7.866354749942882e-9	3.020604824784195e-9
CGE interneuron	0.00465120112264438	0.00844564989582889	yes	iq	2.600735955426226	Deep-layer intratelencephalic	0.12305912323425695	0.16671293378441152	0.01102786328370403	1.354738514324164	0.08961434954084019	7.661717390700752e-5	7.736564406875461e-9	2.974759660139177e-9
CGE interneuron	0.01617603268917067	0.01798654048347026	yes	iq	2.140033427692988	Eccentric medium spiny neuron	0.12305912323425695	0.16658485462183376	0.011276097733677	1.353697720604759	0.0916315461813561	1.1440301482993e-4	6.717121271368337e-9	3.138792686341151e-9
CGE interneuron	0.00516507297719548	0.00844564989582889	yes	iq	2.564577658855906	Hippocampal CA1-3	0.12305912323425695	0.16604363847706383	0.01122554417227159	1.349299703370883	0.09122073908248556	1.2873194060439e-4	7.826268724553334e-9	3.051679366202052e-9
CGE interneuron	0.00408213791085299	0.00844564989582889	yes	iq	2.6451995344517543	Hippocampal CA4	0.12305912323425695	0.1658198660641648	0.01116251655400563	1.347481289530301	0.09070856561164112	1.2883364915775e-4	7.99154209720753e-9	3.021149063850815e-9
CGE interneuron	0.01798654048347026	0.01798654048347026	yes	iq	2.0972315716030665	LAMP5-LHX6 and Chandelier	0.12305912323425695	0.16593348867340638	0.01108885894833239	1.3484046067639637	0.09011001100035064	1.1209163485977e-4	6.2677601939437996e-9	2.988587564106187e-9
CGE interneuron	0.00548444427664984	0.00844564989582889	yes	iq	2.5436884025685735	Upper-layer intratelencephalic	0.12305912323425695	0.1660981709628197	0.01109607207675572	1.3497428439062826	0.09016862614593069	1.051533758006e-4	7.684378816103423e-9	3.020959174222702e-9
Deep-layer corticothalamic and 6b	0.0775112576308431	0.08858429443524925	no	iq	1.4220128683724806	Amygdala excitatory	0.14169744507737506	0.17924094781848504	0.01098895780065542	1.264955396483042	0.07755226493078134	9.548900138005e-4	4.025692799579619e-9	2.8309819757025806e-9
Deep-layer corticothalamic and 6b	0.01537560954756744	0.06150243819026979	no	iq	2.160277171758048	CGE interneuron	0.14169744507737506	0.17830753961808546	0.01081919286842421	1.258368063875246	0.07635418452687208	0.00103786590709181	5.875281079581922e-9	2.7196885457066507e-9
Deep-layer corticothalamic and 6b	0.16428623634271944	0.16428623634271944	no	iq	0.9769932932585298	Deep-layer intratelencephalic	0.14169744507737506	0.17936373154634117	0.01094903578452384	1.2658219168905842	0.07727052367489785	8.6678162988913e-4	2.938643121110067e-9	3.007843699017542e-9
